,name,port_id,lat_port,lon_port,iso2,area,h3_5,h3_5_int
835,Joutseno,2472356,61.119467,28.467,fi,baltic,8511234bfffffff,599280241038327807
836,Joutseno,2472356,61.119467,28.467,fi,baltic,85112347fffffff,599280241038327807
837,Joutseno,2472356,61.119467,28.467,fi,baltic,85112357fffffff,599280241038327807
838,Joutseno,2472356,61.119467,28.467,fi,baltic,85112353fffffff,599280241038327807
839,Joutseno,2472356,61.119467,28.467,fi,baltic,8511235bfffffff,599280241038327807
76,KALAJOKI,74829,64.1831,23.8332,fi,baltic,8508d423fffffff,599134066121375743
456,KALAJOKI,74829,64.1831,23.8332,fi,baltic,8508d427fffffff,599134066121375743
457,KALAJOKI,74829,64.1831,23.8332,fi,baltic,8508d42ffffffff,599134066121375743
458,KALAJOKI,74829,64.1831,23.8332,fi,baltic,8508d433fffffff,599134066121375743
459,KALAJOKI,74829,64.1831,23.8332,fi,baltic,8508d42bfffffff,599134066121375743
460,KALAJOKI,74829,64.1831,23.8332,fi,baltic,8508d43bfffffff,599134066121375743
461,KALAJOKI,74829,64.1831,23.8332,fi,baltic,8508d437fffffff,599134066121375743
34,KALMAR,1249,56.66327,16.36777,se,baltic,851f2d6bfffffff,599527229575135231
204,KALMAR,1249,56.66327,16.36777,se,baltic,851f28a7fffffff,599527229575135231
205,KALMAR,1249,56.66327,16.36777,se,baltic,851f2d7bfffffff,599527229575135231
206,KALMAR,1249,56.66327,16.36777,se,baltic,851f28b7fffffff,599527229575135231
207,KALMAR,1249,56.66327,16.36777,se,baltic,851f2d6ffffffff,599527229575135231
208,KALMAR,1249,56.66327,16.36777,se,baltic,851f2d63fffffff,599527229575135231
209,KALMAR,1249,56.66327,16.36777,se,baltic,851f29d3fffffff,599527229575135231
35,KANTVIK,8412,60.08324,24.395,fi,baltic,8508994ffffffff,599130023483408383
210,KANTVIK,8412,60.08324,24.395,fi,baltic,8508994bfffffff,599130023483408383
211,KANTVIK,8412,60.08324,24.395,fi,baltic,85089947fffffff,599130023483408383
212,KANTVIK,8412,60.08324,24.395,fi,baltic,85089943fffffff,599130023483408383
213,KANTVIK,8412,60.08324,24.395,fi,baltic,8508997bfffffff,599130023483408383
214,KANTVIK,8412,60.08324,24.395,fi,baltic,85089bb3fffffff,599130023483408383
215,KANTVIK,8412,60.08324,24.395,fi,baltic,85089bb7fffffff,599130023483408383
127,KAPELLSKÄR,98120,59.71787,19.06685,se,baltic,850882bbfffffff,599128471926472703
762,KAPELLSKÄR,98120,59.71787,19.06685,se,baltic,8508828ffffffff,599128471926472703
763,KAPELLSKÄR,98120,59.71787,19.06685,se,baltic,850882b3fffffff,599128471926472703
764,KAPELLSKÄR,98120,59.71787,19.06685,se,baltic,850882a3fffffff,599128471926472703
765,KAPELLSKÄR,98120,59.71787,19.06685,se,baltic,850882abfffffff,599128471926472703
766,KAPELLSKÄR,98120,59.71787,19.06685,se,baltic,85088287fffffff,599128471926472703
767,KAPELLSKÄR,98120,59.71787,19.06685,se,baltic,85088217fffffff,599128471926472703
36,KARLSBORG,4559,65.912,23.282059,se,baltic,8508c637fffffff,599133109417410559
216,KARLSBORG,4559,65.912,23.282059,se,baltic,8508c623fffffff,599133109417410559
217,KARLSBORG,4559,65.912,23.282059,se,baltic,8508c0dbfffffff,599133109417410559
218,KARLSBORG,4559,65.912,23.282059,se,baltic,8508c6affffffff,599133109417410559
219,KARLSBORG,4559,65.912,23.282059,se,baltic,8508c627fffffff,599133109417410559
220,KARLSBORG,4559,65.912,23.282059,se,baltic,8508c0cbfffffff,599133109417410559
